city,lat,lng
Čierna nad Tisou,48.4170,22.0887
Turna nad Bodvou,48.6006,20.8781
Slovenský Grob,48.2558,17.2747
Jasov,48.6831,20.9742
Veľké Leváre,48.5031,17.0012
Okoč,47.8906,17.8097
Novoť,49.4278,19.2667
Tlmače,48.2833,18.5333
Svrčinovec,49.4811,18.7922
Spišské Vlachy,48.9500,20.8000
Bystrany,48.9494,20.7581
Zborov,49.3722,21.3153
Štrba,49.0542,20.0785
Oravská Lesná,49.3689,19.1836
